line_global,folio_id,section_label,visual_category,line_in_folio,token_count,paragraph_initial_line,raw_line_tag,tokens
0,f1r,unknown,unknown,1,9,True,"f1r.1,@P0",fachys ykal ar ataiin shol shory res kor sholdy
1,f1r,unknown,unknown,2,10,False,"f1r.2,+P0",sory ckhar or kair chtaiin shar ase cthar cthar dan
2,f1r,unknown,unknown,3,9,False,"f1r.3,+P0",syaiir sheky or ykaiin shod cthoary cthes daraiin sy
3,f1r,unknown,unknown,4,9,False,"f1r.4,+P0",soiin oteey oteo roloty cthiar daiin okaiin or okan
4,f1r,unknown,unknown,5,5,False,"f1r.5,+P0",sair chear cthaiin cphar cfhaiin
5,f1r,unknown,unknown,6,1,False,"f1r.6,=Pt",ydaraishy
6,f1r,unknown,unknown,7,7,True,"f1r.7,*P0",odar shol cphoy oydar sh cfhoaiin shodary
7,f1r,unknown,unknown,8,10,False,"f1r.8,+P0",yshey shody okchoy otchol chocthy os chy dain chor kos
8,f1r,unknown,unknown,9,4,False,"f1r.9,+P0",daiin shos cfhol shody
9,f1r,unknown,unknown,10,3,False,"f1r.10,=Pt",dain os teody
10,f1r,unknown,unknown,11,8,True,"f1r.11,*P0",ydain cphesaiin ols cphey ytain shoshy cphodal es
11,f1r,unknown,unknown,12,8,False,"f1r.12,+P0",oksho kshoy otairin oteol okan shodain sckhey daiin
12,f1r,unknown,unknown,13,8,False,"f1r.13,+P0",shoy ckhey kodaiin cphy cphodaiils cthey sho oldain
13,f1r,unknown,unknown,14,10,False,"f1r.14,+P0",dain oiin chol odaiin chodain chdy ok in cthy kod
14,f1r,unknown,unknown,15,10,False,"f1r.15,+P0",daiin shckhey eo char shey kol chol chol kor chal
15,f1r,unknown,unknown,16,9,False,"f1r.16,+P0",sho chol shodan kshy kchy or chodaiin sho koeam
16,f1r,unknown,unknown,17,8,False,"f1r.17,+P0",ycho tchey chekain sheo pshol dydyd cthy dai
17,f1r,unknown,unknown,18,9,False,"f1r.18,+P0",yto shol she kodshey cphealy dar ain dain ckhyds
18,f1r,unknown,unknown,19,8,False,"f1r.19,+P0",dchar shcthaiin okaiir chey chy tol cthols dlo
19,f1r,unknown,unknown,20,5,False,"f1r.20,+P0",shok chor chey dain ckhey
20,f1r,unknown,unknown,21,2,False,"f1r.21,=Pt",otol daiiin
21,f1r,unknown,unknown,22,10,True,"f1r.22,*P0",cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro dar
22,f1r,unknown,unknown,23,10,False,"f1r.23,+P0",ydoin chol dain cthal dar shear kaiin dar shey cthar
23,f1r,unknown,unknown,24,9,False,"f1r.24,+P0",cho kaiin shoaiin okol daiin far cthol daiin ctholdar
24,f1r,unknown,unknown,25,9,False,"f1r.25,+P0",ycheey okeey oky daiin okchey kokaiin chol dchy dal
25,f1r,unknown,unknown,26,10,False,"f1r.26,+P0",dcheo shody koshey cthy ok chey keey keey dal chtor
26,f1r,unknown,unknown,27,5,False,"f1r.27,+P0",eo chol chok choty chotey
27,f1r,unknown,unknown,28,1,False,"f1r.28,=Pt",dchaiin
28,f1v,herbal,herbal,1,7,True,"f1v.1,@P0",kchsy chydaiin ol tchey char cfhar am
29,f1v,herbal,herbal,2,8,False,"f1v.2,+P0",yteey char or ochy dcho lkody okodar chody
30,f1v,herbal,herbal,3,8,False,"f1v.3,+P0",da ckhy ckhockhy shy dksheey cthy kotchody dal
31,f1v,herbal,herbal,4,6,False,"f1v.4,+P0",dol chokeo dair dam sochey chokody
32,f1v,herbal,herbal,5,9,False,"f1v.5,+P0",potoy shol dair cphoal dar chey tody otoaiin shoshy
33,f1v,herbal,herbal,6,10,False,"f1v.6,+P0",choky chol ctho shol okal dolchey chodo lol chy cthy
34,f1v,herbal,herbal,7,12,False,"f1v.7,+P0",qo ol choees cheol dol cthey ykol dol dolo ykol do lchiody
35,f1v,herbal,herbal,8,10,False,"f1v.8,+P0",okolshol kol kechy chol ky chol cthol chody chol daiin
36,f1v,herbal,herbal,9,11,False,"f1v.9,+P0",shor okol chol dol ky dar shol dchor tcho dar ody
37,f1v,herbal,herbal,10,7,False,"f1v.10,+P0",taor chotchey dal chody schody pol chodar
38,f2r,herbal,herbal,1,6,True,"f2r.1,@P0",kydainy ypchol daiin otchal ypchaiin ckholsy
39,f2r,herbal,herbal,2,4,False,"f2r.2,+P0",dorchory chkar shor cthy
40,f2r,herbal,herbal,3,6,False,"f2r.3,+P0",qotaiin cthey chor chy ydy chaiin
41,f2r,herbal,herbal,4,6,False,"f2r.4,+P0",aiidy chtod dy cphy dals chokaiin
42,f2r,herbal,herbal,5,7,False,"f2r.5,+P0",otochor al shodaiin chol dan ytchaiin dan
43,f2r,herbal,herbal,6,8,False,"f2r.6,+P0",saiin dain dkol sor ytoldy dchol dchy cthy
44,f2r,herbal,herbal,7,5,False,"f2r.7,+P0",shor ckhy daiiny chol dan
45,f2r,herbal,herbal,8,8,False,"f2r.8,+P0",kydain shaiin qoy shol fodan yksh olsheey daiildy
46,f2r,herbal,herbal,9,11,False,"f2r.9,+P0",dls sho kol sheey qokey ykody so chol yky dain daiisol
47,f2r,herbal,herbal,10,10,False,"f2r.10,+P0",qo ky cholaiin shol sheky daiin cthey keol saiin iin
48,f2r,herbal,herbal,11,9,False,"f2r.11,+P0",ychain dal chy dalor shan dan olsaiin sheey ckhor
49,f2r,herbal,herbal,12,11,False,"f2r.12,+P0",okol chy chor cthor yor an chan saiin chety chyky sal
50,f2r,herbal,herbal,13,5,False,"f2r.13,+P0",sho ykeey chey daiin chcthy
51,f2r,herbal,herbal,14,1,False,"f2r.14,@Lp",ytoail
52,f2r,herbal,herbal,15,3,False,"f2r.15,@L0",ios an on
53,f2v,herbal,herbal,1,8,True,"f2v.1,@P0",kooiin cheo pchor otaiin odain chor dair shty
54,f2v,herbal,herbal,2,9,False,"f2v.2,+P0",kcho kchy sho shol qotcho loeees qoty chor daiin
55,f2v,herbal,herbal,3,8,False,"f2v.3,+P0",otchy chor lshy chol chody chodain chcthy daiin
56,f2v,herbal,herbal,4,4,False,"f2v.4,+P0",sho cholo cheor chodaiin
57,f2v,herbal,herbal,5,8,False,"f2v.5,+P0",kchor shy daiiin ch shey dor chol daiin
58,f2v,herbal,herbal,6,10,False,"f2v.6,+P0",dor chol chor chol keol chy chty daiin tchor chan
59,f2v,herbal,herbal,7,7,False,"f2v.7,+P0",daiin chotchey qoteeey chokeos chees chr cheaiin
60,f2v,herbal,herbal,8,5,False,"f2v.8,+P0",chokoishe chor cheol chol dolody
