folio_id,section_label,visual_category,certainty,note
f1r,unknown,unknown,low,no explicit conventional visual/codicological label found in local comments
f1v,herbal,herbal,high,explicit comment contains herbal
f2r,herbal,herbal,high,explicit comment contains herbal
f2v,herbal,herbal,high,explicit comment contains herbal
f3r,herbal,herbal,high,explicit comment contains herbal
f3v,herbal,herbal,high,explicit comment contains herbal
f4r,herbal,herbal,high,explicit comment contains herbal
f4v,herbal,herbal,high,explicit comment contains herbal
f5r,herbal,herbal,high,explicit comment contains herbal
f5v,herbal,herbal,high,explicit comment contains herbal
f6r,herbal,herbal,high,explicit comment contains herbal
f6v,herbal,herbal,high,explicit comment contains herbal
f7r,herbal,herbal,high,explicit comment contains herbal
f7v,herbal,herbal,high,explicit comment contains herbal
f8r,herbal,herbal,high,explicit comment contains herbal
f8v,herbal,herbal,high,explicit comment contains herbal
f9r,herbal,herbal,high,explicit comment contains herbal
f9v,herbal,herbal,high,explicit comment contains herbal
f10r,herbal,herbal,high,explicit comment contains herbal
f10v,herbal,herbal,high,explicit comment contains herbal
f11r,herbal,herbal,high,explicit comment contains herbal
f11v,herbal,herbal,high,explicit comment contains herbal
f13r,herbal,herbal,high,explicit comment contains herbal
f13v,herbal,herbal,high,explicit comment contains herbal
f14r,herbal,herbal,high,explicit comment contains herbal
f14v,herbal,herbal,high,explicit comment contains herbal
f15r,herbal,herbal,high,explicit comment contains herbal
f15v,herbal,herbal,high,explicit comment contains herbal
f16r,herbal,herbal,high,explicit comment contains herbal
f16v,herbal,herbal,high,explicit comment contains herbal
f17r,herbal,herbal,high,explicit comment contains herbal
f17v,herbal,herbal,high,explicit comment contains herbal
f18r,herbal,herbal,high,explicit comment contains herbal
f18v,herbal,herbal,high,explicit comment contains herbal
f19r,herbal,herbal,high,explicit comment contains herbal
f19v,herbal,herbal,high,explicit comment contains herbal
f20r,herbal,herbal,high,explicit comment contains herbal
f20v,herbal,herbal,high,explicit comment contains herbal
f21r,herbal,herbal,high,explicit comment contains herbal
f21v,herbal,herbal,high,explicit comment contains herbal
f22r,herbal,herbal,high,explicit comment contains herbal
f22v,herbal,herbal,high,explicit comment contains herbal
f23r,herbal,herbal,high,explicit comment contains herbal
f23v,herbal,herbal,high,explicit comment contains herbal
f24r,herbal,herbal,high,explicit comment contains herbal
f24v,herbal,herbal,high,explicit comment contains herbal
f25r,herbal,herbal,high,explicit comment contains herbal
f25v,herbal,herbal,high,explicit comment contains herbal
f26r,herbal,herbal,high,explicit comment contains herbal
f26v,herbal,herbal,high,explicit comment contains herbal
f27r,herbal,herbal,high,explicit comment contains herbal
f27v,herbal,herbal,high,explicit comment contains herbal
f28r,herbal,herbal,high,explicit comment contains herbal
f28v,herbal,herbal,high,explicit comment contains herbal
f29r,herbal,herbal,high,explicit comment contains herbal
f29v,herbal,herbal,high,explicit comment contains herbal
f30r,herbal,herbal,high,explicit comment contains herbal
f30v,herbal,herbal,high,explicit comment contains herbal
f31r,herbal,herbal,high,explicit comment contains herbal
f31v,herbal,herbal,high,explicit comment contains herbal
f32r,herbal,herbal,high,explicit comment contains herbal
f32v,herbal,herbal,high,explicit comment contains herbal
f33r,herbal,herbal,high,explicit comment contains herbal
f33v,herbal,herbal,high,explicit comment contains herbal
f34r,herbal,herbal,high,explicit comment contains herbal
f34v,herbal,herbal,high,explicit comment contains herbal
f35r,herbal,herbal,high,explicit comment contains herbal
f35v,herbal,herbal,high,explicit comment contains herbal
f36r,herbal,herbal,high,explicit comment contains herbal
f36v,herbal,herbal,high,explicit comment contains herbal
f37r,herbal,herbal,high,explicit comment contains herbal
f37v,herbal,herbal,high,explicit comment contains herbal
